sentence,label,category
The kids really enjoy playing music on it and asking it random questions.,1,Electronics
Seriously Alexa is fun.,0,Electronics
Great addition to my kitchen and works just as well as the full-sized Alexa in the house.,0,Electronics
This new generation is a big improvement.,0,Electronics
"If you like a bit more bass and don't mind a lesser bright sounding speaker, get the new one.",1,Electronics
"Alexa is amazing, I use her for music, tv, my lights and even to turn on and off my stuff in my room.",1,Electronics
Por ejemplo las noticias las trae de periodicos de USA.,0,Electronics
Instructions for getting these dot's to pair with Wi Fi are horrible.,1,Electronics
"I don't have a smart home (yet) so I can't say anything about turning on and off lights, locking doors, alarm setting, etc.",0,Electronics
It's beautiful and (in my view) a VERY nice improvement over past iteration(s).,0,Electronics
I'm not sure what I could say.,0,Electronics
I know this is a sensitive topic and I bet some will disagree with me and some will agree.,0,Electronics
Much better sound from this dot.,0,Electronics
!,0,Electronics
It was amazingly easy to set up.,1,Electronics
"Other than that, it's great, she adds stuff to my grocery list, etc., as it says she is suppose to.",1,Electronics
I have a hard time understanding Alexa.,1,Electronics
When products you talk about in your home privately starts appearing on your home computer as suggestion then it's time to unplug.,0,Electronics
I absolutely love this device.,0,Electronics
"I’ve looked for it online and it said to de register the echo from my account, I’ve done that loads of times.",0,Electronics
"Here I am, constantly finding ways to terrorize my friends (I’ve been labeled a FaceTime terrorist) and  YET THIS CHARM has provided me another way!",0,Electronics
I’m sure apps will become more compatible in the future.,0,Electronics
Very convenient and I don't know how I survived without it,0,Electronics
Most importantly I don’t have to pay seperate for subscription that’s awesome.,0,Electronics
It understands different accent and gives back proper results.,1,Electronics
"When Alexa does decide to play for me, the sound is quite good.",1,Electronics
I just need to take time to figure it all out.,0,Electronics
"I can play some free services like I heart radio which does have playlists, but they don't always play the music I like.",0,Electronics
Great gift!,0,Electronics
"I can connect it to another speaker through audio cable if I choose to, however I'm only using it for my room so I don't need a loud speaker.",1,Electronics
But Alexa DOES speak Spanish!!,0,Electronics
Alexa turns on and off my wifi plugs  with voice.,0,Electronics
Good for play music in the background while you're cleaning or something.,1,Electronics
Seems to respond a little slower but I think it's just that the blue ring lights up a little later than in the 2nd Gen.,0,Electronics
Now she can just say Alexa call somebody and it works perfect.,0,Electronics
Apparently this is the only smart speaker that you cant change the voice to.,1,Electronics
This new version the 3.0...is somewhere in the middle.,0,Electronics
"The 3rd generation relies on training the user to turn down the music, background noise and to wait patiently while the person on the other end talks.",0,Electronics
Sound quality is average or less but I’m coming from a background in music and hifi sound.,1,Electronics
Would recommend.,0,Electronics
Had a friend set it up easy  for him to do he used his smart phone .Very happy with it .,0,Electronics
Ask where it is or it's creators are.,0,Electronics
Lastima que por las restricciones de región (Honduras) no puedo usar mi Apple Music ligado a Alexa,0,Electronics
Pretty cool.,0,Electronics
"She tells me the weather, news, plays any song I want (hook her up with spotify), and can find recipes or meal ideas.",1,Electronics
"It's not a Bose stereo system, but that's not what I want in a virtual assistant.",1,Electronics
"By the way, I have youtube premium and amazon prime however Google plays everything I want in music but Alexa asks unlimited music subscription;/",1,Electronics
I previously had the 2nd gen - I'm going to plug that one back in and return this piece of garbage.,0,Electronics
The build quality on it is also quite good and it feels sturdy and well made.,1,Electronics
Without a doubt the sound quality and volume is MUCH better!!,1,Electronics
I think I believe her.,0,Electronics
"If we had kids it would be even more super useful (kids workouts, stories, games) - we even had a goodnight story read to us by Alexa and it was awesome.",1,Electronics
If this holds up it's worth every Star if it doesn't I'll come back in re-edit,0,Electronics
I can't use it to play music anymore - it just sounds awful.,1,Electronics
I could whisper from a few feet away and all commands/requested worked.,1,Electronics
For the price you cannot beat the Echo Dot (make sure it's the 3rd Generation!).,0,Electronics
My 1st gen still sounds way better.,1,Electronics
I bought a few more echos on Prime Day as they had a great day (only $22).,0,Electronics
I enjoy using the Alexa service.,0,Electronics
It is perfect for my small space.,1,Electronics
You just have to wait it out while she wakes up the whole house.,0,Electronics
"I have set up, very easily, ""Flash Breifing"" so I get my local weather, traffic, news and then Fox News, Fox Business and the sports.",0,Electronics
It does what it wants and I’m dissatisfied with buying two,0,Electronics
My son purchased the 2nd-Gen Echo that was a total disaster.,0,Electronics
Haven't got the lights hooked up yet as they haven't been delivered but that's what I actually got this for .,1,Electronics
I bought it for my husband in his basement den and he loves it.,1,Electronics
The devices just keep getting better and better!,0,Electronics
"I use her for timers;spelling,weather,ect.ect.",1,Electronics
Want to use outside as an additional speaker for music.,1,Electronics
"Seriously, you sell the stuff.",0,Electronics
I had an older version (Gen 1) and it did not hook up at all which is why I had to purchase this new one.,0,Electronics
But the design is so much more sophisticated compared to the glossy single color cover of the previous generations.,1,Electronics
We just bought a new house with 2 floors and a lot more space.,0,Electronics
It's just a lot louder than the older generation of Echo Dot's.,0,Electronics
Doesn’t sound as good as the echo 2nd generation that I purchased but I expected that after reading other reviews.,1,Electronics
"Doesn't happen every time, but definitely a glitch in the system overall.",0,Electronics
I am however annoyed that the Pandora app doesn’t work well with the device.,1,Electronics
For $20 you can’t expect Bose sound quality.,0,Electronics
"Seamless connection to my Spotify account, and the apps are fun.",0,Electronics
"Fabulous fidelity and incredible volume, too!",1,Electronics
So far I have her controlling my living room light.,1,Electronics
And I love it!,0,Electronics
"This version is also more aesthetically pleasing, as it comes in a softer look and softer colors than the stark black or white of gen 2.",1,Electronics
Sometimes it’s just it’s own thing and don’t listen well.,0,Electronics
"I don't know why the problem arose to begin with, but I canceled the firewall and ended the hour long ordeal.",0,Electronics
Love it!,0,Electronics
Only happens on the newer dots .,0,Electronics
Now if you’re like me and mainly using it for music you have to also pay for the amazon music unlimited monthly which was $3.99.,1,Electronics
Nice look.,0,Electronics
We are sold on this Echo Dot and we hope to add additional Echo products in the near future.,0,Electronics
Recently decided to jump aboard and get “Alexa” in my home.,0,Electronics
Giving 4 stars because it Sometimes picks up something different then I totally said.,1,Electronics
It can hear me all over my small house.,1,Electronics
I love it.,0,Electronics
You can ask for famous people ages.,0,Electronics
Paired with Amazon music I'm able to play anything I want on a whim.,0,Electronics
is hard to train.,1,Electronics
The refurbished one I have has superior performance.,0,Electronics
Love this addition to our Alexa!,0,Electronics
This is easy to use and relatively easy to set up if you follow the directions on the app.,1,Electronics
Very impressive for such a small speaker,0,Electronics
"She is great, and the Dot is a great addition for additional rooms too far from the main area where her big sister is.",0,Electronics
I am so surprised at how much better the speaker on this has gotten.,0,Electronics
"He loved technology, but never lived to see all the wonders we have today.",0,Electronics
"She's better than any human and ""SHE""S MINE""....",0,Electronics
We have a few throughout house and had an issue getting this one set up which is why I only gave it 3 stars.,1,Electronics
"I got my second unit at a drastic discount when I bought the first, so I'd say they're still an excellent deal.",0,Electronics
The sound is so much better than the 2nd gen.,1,Electronics
The cost is incredible for this much technology and quality.,1,Electronics
The price is very affordable at $25.,0,Electronics
What a Great Product.,0,Electronics
Very responsive compared to our Google home.,1,Electronics
I have (1) Echo & (2) Echo dots.,0,Electronics
So far so good...,0,Electronics
"Using with the music group option, it works well most of the time with some syncing or lag issues between echo devices on a rare occasion.",1,Electronics
"She is so knowledgeable, that you could almost have a conversation with her.",0,Electronics
I am trying to utilize the features.,0,Electronics
"We are owners of the Echo Show, Spot, and black dot too, so we were really bummed when this one was faulty.",0,Electronics
Find many uses for it including flash briefing and music usage.,1,Electronics
The 3rd Gen is a little weightier and bigger than the 2nd gen but it makes up for that with the amazing sound quality.,1,Electronics
Awesome!,0,Electronics
This is such a user friendly product.,1,Electronics
My teen hooked up the iPhone and is enjoying music loudly while studying and cleaning.,0,Electronics
I like that it’s louder but now it’s sounding staticky from being turned up all the way during our favorite songs.,0,Electronics
"She listens to a lot things and using the Alexa App allows me, dad, to monitor and control the dot.",0,Electronics
I've added home control almost as an after thought.,0,Electronics
Plays my sons favorite song on repeat if he must.... Has some funny jokes if you get bored.,0,Electronics
We do not recommend buying the Echo Dot 3rd Gen speaker made by Amazon.,0,Electronics
Super easy to use and looks great!,1,Electronics
Sometimes it has a hard time in the skills mode picking up our voice.,1,Electronics
I highly recommend.,0,Electronics
I also use them to control lights and for  a multitude of other tasks all day long.,1,Electronics
Reminders work great and much more.,1,Electronics
Now it's my best friend especially when I'm home alone.,0,Electronics
We live in the basement of our office.,0,Electronics
It's awesome!,0,Electronics
I am so glad my son and daughter in law gave me this.,0,Electronics
I USE THIS IN MY KITCHEN BECAUSE I CAN'T HEAR THE ONE IN MY LIVING ROOM!,0,Electronics
"wasn't sure at first but glad I got this echo dot, its really handy to have, I can use it for timer when cooking, lots of things.",1,Electronics
It was hard to connect and still can’t figure out how to use the smart plug i got with it.,1,Electronics
"Mi primer ventaja es la calidez de la voz, no tan robotizada sino amable, además entiende muchos mejor y resuelve prontamente.",0,Electronics
"Works great in conjunction with my digital read-outs as I just have to read the numbers to Alexa (Echo) and have it multiply, divide, add or subtract as needed.",1,Electronics
I needed a way for guests to be able to turn off/on the light in the guest room without having to get up out of bed or bang around in the dark.,1,Electronics
Definitely worth the buy!,0,Electronics
"Then tap Alexa Account, then Alexa Voice Responses.",0,Electronics
I would recommend opting for earlier devices until Amazon works the kinks out of the 3rd Gen of the Dot.,1,Electronics
Zero complaints.,0,Electronics
For the price you can get one in each room and have your music/ talk shows easily accessible!,0,Electronics
"After days of struggle, this is what I found out after an hour online with the tech:",0,Electronics
Love my shopping list.,0,Electronics
She can do a lot of things and having the app attached is also nice.,1,Electronics
I don’t know how to give “her” the correct commands and I am constantly getting “I don’t know that one”.,0,Electronics
You have to play I heart radio,0,Electronics
My husband and I played Skills trivia games for hours last night.,0,Electronics
This my second one so I have it handy in another part of the house.,0,Electronics
"I also have a competing system that starts with a G. In almost every way, the other system comes up short.",0,Electronics
Alexa even helped me with measurements while i was cooking.,1,Electronics
My husband loves asking Alexa the score of on going spots games too.,1,Electronics
She’s like my own personal assistant,0,Electronics
Alexa is the call sign that begins a conversation with the high tech device.,0,Electronics
The only thing I cannot figure out is speaker pairing...,1,Electronics
that suggest things you can do with Alexa.,0,Electronics
Sometimes I say things just to hear the response.,0,Electronics
"Further, I am not willing to pay again for the music I already have.",1,Electronics
I had a hard time setting the Echo Dot up without buying Audible or other subscription services.,1,Electronics
It also seems to be head and shoulders above Apple’s Siri as far as voice recognition and information returned.,0,Electronics
"Alexa makes it easy to use as speaker phone, to check weather, and play music although we also have a Bose wireless speaker which has a richer sound but not as convient to use.",1,Electronics
"""Try this..",0,Electronics
I am Apple owner NOTHING android or PC.,0,Electronics
The voice recognition is actually very good.,1,Electronics
"She spells, answers my questions and tells me corner jokes.",0,Electronics
"She says, “Good night, sleep tight”, sings made up songs, tells stories, and plays Ocean Waves to lull us to sleep.",1,Electronics
It was a snap to set up and is perfect for my needs.,1,Electronics
!,0,Electronics
"The dot is far less capable, while the mini pretty much answers any ""googleable"" question.",0,Electronics
"I've upgraded from Echo Dot 2nd Generations, which are awesome, and the only downsides to them are the sound quality for music.",1,Electronics
"and most importantly, know what the weather is like for the day.",1,Electronics
"It can 'hear' and understand instructions from 10 or more feet away, though getting closer helps if it seems to be having trouble understanding something.",1,Electronics
"If you turn music up really loud, you might be disappointed with the dot.",1,Electronics
The upgrades made it worth adding to my dot group.,0,Electronics
The Echo is an Awesome Speaker with Alexa as an Helper and Very Informational Too !,1,Electronics
This is annoying because it will keep doing it until you completely shut off the connection from the Echo.,0,Electronics
Problem....... My internet data increased by $20 with two week of use!,0,Electronics
Was not sure if I needed another Alexa device but purchased to put in the office to listen to music while I was working.,0,Electronics
The speaker is so much better than I expected.,0,Electronics
dots for alarms  and reminders  i got.,1,Electronics
I held out for as long as I could thinking I didn't want an echo.,0,Electronics
The phone of the golden age of SF  becomes real!,0,Electronics
"Sound quality is vastly improved although bass could be better, but for what it cost compared to other echo devices it’s acceptable.",1,Electronics
"After missing doctor appointments and stressing because I might forget an important appointment, I bout the Echo Dot.",1,Electronics
Either I am unclued as how to harness the echo's power or there is little there to harness.,0,Electronics
This is the case for all my 3rd generation dots.,0,Electronics
Kind of a bummer tho.,0,Electronics
"The new model has a hard time recognizing my Wemo light switch for ""bedroom"" and often says ""Bedroom can not do this action"" while the older Echo dot 2nd gens had no problem.",1,Electronics
One of them had a blown speaker.,0,Electronics
This is a replacement for my Exo Dot 3rd gen. That Amazon tech support ran diagnostics on and found errors so they swapoed it out.,0,Electronics
Function and capability are second to none.,1,Electronics
"That nice little toy I got a few years ago has taken over my house, truck, and me.",0,Electronics
Doesn’t fit my needs.,0,Electronics
We love it!,0,Electronics
In discovery it said it did not find any devices.,0,Electronics
!,0,Electronics
"So, I just say hay Alexa put it on my list or remind me to do something later.",0,Electronics
The sound is much sharper and cleaner than previous versions and even music sounds better on it.,1,Electronics
"I don't WANT a bigger one, and I definitely don't want to throw money at a more expensive solution, but ... :(",1,Electronics
"If you only knew the number of times I would think of something we needed when I was in the kitchen or upstairs etc... and when I was at the store I couldn't, for the life of me, remember what it was we needed.",0,Electronics
We bought 2 of these on Prime day to accompany the Echo Show we've had for a few months.,0,Electronics
Got two so I could set them up as a stereo pair.,0,Electronics
After researching online I found out that a lot of people are having the same problem as me.,0,Electronics
Amazon has a great ecosystem and they show an ongoing commitment to the Alexa app in making it the most intuitive even over Apple Home Kit and Google Home.,0,Electronics
"Well when I saw this echo dot on sale, I grabbed it.",0,Electronics
"Honestly, this model doesn't always seem to pick up my voice as well as the dot, echo v1, and echo v2.",1,Electronics
I bought two (Gen3) Dots and both of them lose connection often.,1,Electronics
It’s been moved to my sons room since we have to listen to the same song at bedtime now.,0,Electronics
I can't believe how many fun apps and games there are available!,1,Electronics
Dunno whether the latest generation of the echo dot performs more or better than the earlier ones; but I like the looks and feel of it.,1,Electronics
"Easy setup, plugged in, recognized all my gadgets and sound good for a little round speaker.",1,Electronics
"We currently have 4 alexa speakers in the house (Living room, kitchen, loft, bedroom).",0,Electronics
Easy to set up and enjoy.,1,Electronics
So far it is great and easy to use.,1,Electronics
Shuts off unexpectedly & doesn't respond to commands.,1,Electronics
Voice recognition is also mediocre.,1,Electronics
Still does from time to time.,0,Electronics
All joking aside this echo dot is incredible and I haven’t had any problems with it yet!,0,Electronics
"However, it'll randomly start listening to me at various moments during the day when I'm arguing with my son over something and I never say the ""wake"" word.",1,Electronics
"Used very lightly, and never mistreated.",0,Electronics
"I really wasn't into this when other friends told me they had one, then I spent a weekend in a house that had the full set up.",0,Electronics
"Great product, especially if you use Amazon.",0,Electronics
I'd rebuy the item for a friend as a gift.,0,Electronics
"The DOT has several handy capabilities; e.g., easy to set up, nice lengthy line cord.",1,Electronics
"However, it was a hit and everyone wanted it so im sure it is a good device.",0,Electronics
I plan to buy another Echo--the larger Gen 2 with a better speaker to play music but will still use this Echo Dot for many tasks.,1,Electronics
We have tried resetting our router like the hints say but nothing seems to help.,0,Electronics
"Apple, Spotify, YouTube, amazon, pandora, etc.",0,Electronics
It can still hear me even though it is playing loud music.,1,Electronics
"So nice to just say ""Alexa, add milk to Kroger"" rather than having to write it down somewhere and then remember to take the list with me.",1,Electronics
Was disapointed with the ease of using Alexa.,1,Electronics
"I have asked a couple questions that alexa didnt seem to know and there are a couple features, which im sure theyll add later, that werent there.",0,Electronics
Excited to see what other products I can pair with Alexa and the Echo Dot to get my smart home under way.,1,Electronics
The sound is improved.,0,Electronics
The sound is sublime!,0,Electronics
"Each time we do that, we have to go though to configuration cycle.",0,Electronics
Great addition to my room that makes tasks super simplified.,1,Electronics
It's also greatly better than the Show (which I now consider to be garbage).,0,Electronics
I have 3 and they are worth it!,0,Electronics
Its pretty amazing.,0,Electronics
I would recommend these to a friend,0,Electronics
Having fun exploring the various skills and eager to figure out more things!,0,Electronics
I bought it expecting the speaker aspect to only work in my room but if I use it on max volume than I can hear it in the living room of my tiny apartment as well.,0,Electronics
"If people want an artificial intelligence device that they can do more than ask for weather reports, the time, date, year, or to play music, I would suggest trying another company's device.",1,Electronics
"The microphone picks up my voice even with music playing at a high volume, and the WiFi connectivity is strong.",1,Electronics
There are hundreds of reviews for this version so I won't just repeat the obvious or gush about how it is the best thing that ever happened to my life.,0,Electronics
I enjoy the question of the day and some of the other perks.,1,Electronics
"The only problem I have had until now is that I cannot get rid of Jimmy Fallon telling the jokes, I'd prefer Alexa's jokes again...",1,Electronics
"It's marketed that it sounds better because of the so-called ""improved speaker"" but to me it still sounds like crap unless paired with a real speaker.",1,Electronics
I bought this for my teen and she uses it every single day.,0,Electronics
"Sometimes they work, but most of the time they don't.",0,Electronics
"Plus, Alexa is not very smart - she can answer only a fraction of the questions that Google can.",1,Electronics
"I am looking forward to adding more gadgets in the future such a the Roomba not, lightning, etc",1,Electronics
"The songs still play but its ""crumbly"" and difficult to understand.",1,Electronics
"It was surprising the first time they reported the weather, all official sounding over breakfast.",0,Electronics
"I have it in my room and I like that no matter if i'm in the restroom, in my closet or have a lower voice because i'm in bed, Alexa will respond.",1,Electronics
I turn around and ask Google the same question and I get an answer.,0,Electronics
Another annoying thing is Alexa goes deaf to your command if the volumn went above 5.,1,Electronics
I like it when home on a rainy day all of us and the kids play the games she has and work my TV get the news play music for any mood and so much more to explore I am sure,0,Electronics
You should try it.,0,Electronics
"Not only does she have new skills added every week, Alexa’s current skills improve as well.",0,Electronics
I would definitely purchase this speaker again.,0,Electronics
Would buy another one.,0,Electronics
I bought one smart plug so Alexa can turn the lights on/off as requested.,1,Electronics
I hate to say it but Hey Google is a lot smarter.,0,Electronics
Now that i have it all set up I use it every day.,0,Electronics
First Echo device and we are pleased.,0,Electronics
"The problem was easily diagnosed when I said ""Alexa, say device name"" and the response was not the correct name.",0,Electronics
"We have most of our lighting standardized on TP-Link smart outlets, smart switches, & smart bulbs.",0,Electronics
I bought these primarily to control the circulation pump on our new Rinnai water heater.,1,Electronics
"other than that, most features are practically the same, though i need to mention that this 3rd gen is more aesthetically pleasing for having a tiny house, it just fit in with the interiors without it looking off.",1,Electronics
"Then works fine again until I ask a question it can't answer and rather than say ""I don't know the answer"" which it sometimes does, it doesn't say anything and I have to reboot.",1,Electronics
A. I is here & we love it.,0,Electronics
It works!,0,Electronics
?,0,Electronics
Only 4 stars because of the poor supply management.,1,Electronics
Giving 3 stars because its a great device but i have had this 2 weeks and Alexa has started speaking without being prompted.,1,Electronics
It is very sleek in design and blends in nicely with everything.,1,Electronics
I love the grey color and it’s so compact it can fit anywhere.,1,Electronics
"The product is an improvement over the prior version, but unfortunately Amazon decided to go with non USB based power source which means I now have difficulty using the dot to travel.",1,Electronics
I received the Echo Dot as a gift.,0,Electronics
"In my very brief experience, here are my impressions.",0,Electronics
"There are so many features I have not tried, but will continue using.",0,Electronics
It’s weird because it is further away but it is much more sensitive.,1,Electronics
Also love that she shuffles my Pandora stations while I'm doing cleaning around the house.,1,Electronics
The white noise skill has done wonders for my sleep.,1,Electronics
Very good sound quality and fast selections.,1,Electronics
But that’s all it is.,0,Electronics
As far as privacy concerns-- I personally don't care.,1,Electronics
I was able to easily link my Apple & Pandora subscriptions in addition to Amazon Prime Music options.,1,Electronics
Everything has been improved on it.,0,Electronics
"I was excited that I could get a dot that sounded better than the original dot, but then was disappointed as soon as I heard a song played on this 3rd gen dot.",0,Electronics
Easy to install and I can ask Alexus for a joke.,1,Electronics
I’ve used a soft voice and she responds perfectly.,1,Electronics
(I give it 5 stars in sound quality only because it is so cheap.,0,Electronics
"Hopefully, they will be on sale again for Black Friday.",0,Electronics
"Finally, I get news and weather in any room.",1,Electronics
"This allows you to play a song, radio or list throughout your entire house.",0,Electronics
The tone is adjustable from the app or by voice.,0,Electronics
"The voice recognition, voice command and Alexa integration are quite convenient.",1,Electronics
It's plugged into the left side of my sofa so Alexa can hear me and be heard clearly.,0,Electronics
"the echo does no do peer to peer connections like Wi-Fi hotspots so if you need to connect it to one you have to buy a 3rd party Wi-Fi router to feed off the hot spot or establish a mesh system in your house, but once you do that it works great and doesn't drop off.",0,Electronics
"You cant go wrong with the Echo Dot, just try to catch them on a 2 for 1 sale or something similar.",0,Electronics
"I love the Echo's, this is my third one around the house, and are great for home automation.",1,Electronics
Didn't connect the echo dot till about two weeks ago.,0,Electronics
"We use it every day, for news, weather, music and questions.",1,Electronics
Not sure why it took me so long to get one...,0,Electronics
I highly recommend this speaker.,0,Electronics
Alexa  sometimes has  trouble understanding my accent.,1,Electronics
Perhaps I am using this in a small powder room but it sounds almost quite as good as my Echo Second Generation.,0,Electronics
I have to speak slowly and enunciate every word and sometimes it still misinterprets my request.,1,Electronics
"Saw the 3rd gen on sale, and decided to give it a try.",0,Electronics
"gen Dot, I'm starting to wonder if I may have received a defective unit.",0,Electronics
It is very funny how years ago bluetooth speakers of this size would cost more the $50 with mediocre sound quality.,0,Electronics
I really do like this little gadget!,0,Electronics
"Alexa, put bread on my shopping list.",0,Electronics
It has a drop in feature which is kind of like an intercom where you can communicate with people in other rooms that have the echo set up.,0,Electronics
"I wound up with 4 Dots, Living room / 2 kids rooms / game room with the phone app counting as a 5th.",0,Electronics
It is of course a bit larger than the old generation dots and it seems to pick up voice commands much easier over music that is playing from it because that was a problem that I had with the old generation dots.,1,Electronics
This device did the trick and much more.,0,Electronics
"Aside from some of the most common capabilities Alexa has, I can now make calls from the Echo Dot 3rd.Gen.",0,Electronics
I like using it for news and weather information and playing my favorite songs.,1,Electronics
"It's also compatible with Spotify, which was the biggest selling point for me.",1,Electronics
I already love it!,0,Electronics
I particularly like the routine part of  Alexa!,1,Electronics
My real purpose was just something to help me keep track of my appointments and it does that OK..,1,Electronics
It was a huge mistake to even try!,0,Electronics
Tell jokes.,0,Electronics
The other device dont.,0,Electronics
We really like our new Dot.,0,Electronics
"I purchased Alexa to do one thing and that was to link up with DirecTV so my wife could change channels, record shows etc.",1,Electronics
Initially being an older adult I had a little uneasiness with the app and probably still don't understand all I can do with Alexa.,0,Electronics
This is nuts.,0,Electronics
i. hope u find my review.,0,Electronics
"Device working great, but App does not support many things.",1,Electronics
The process is either too confusing or else I'm just too dim to do it successfully.,0,Electronics
These sound considerably better than the last generation.,1,Electronics
Bought this for my mother who is legally blind.,1,Electronics
It's convenient and fun!,0,Electronics
Bought a second ECHO for the bedroom and paired it with a smart switch from Amazon as well.,0,Electronics
"Really, really enjoying my 3 Echo Dots!",0,Electronics
"However I think Alexa is spying on me, I ask her to play music and it appears.",0,Electronics
Now I find myself using ir every day mainly for hearing to music and turning on and off the lights.,1,Electronics
"I have it for my barracks room, pair up with two  Lumenty Smart bulbs and I can't be happier enough with it.",1,Electronics
Really don’t have anything to complain.,0,Electronics
The more I play with it the more I learn of its complexity and the more I'm thinking that I need more then just one.,0,Electronics
"I have Bose in my house so hopefully integrating BOSE speakers will be seamless, initial Bose small bluetooth speaker hooked up to my Echo Dot with no issues..",0,Electronics
!,0,Electronics
"The sound is good when listening to music, however, it is muffled when listening to audio books.",1,Electronics
They definitely stepped up the esthetics on the 3rd generation Dot!,1,Electronics
"Although I understand its technology, I had a different idea going in to my experience so I hope you understand where I'm coming from.",0,Electronics
"I bought this for my wife, she does not really embrace technology.",0,Electronics
"Very simple to link to my laptop, did recognize my small grandson trying to talk to it and wouldn't respond.",1,Electronics
etc).,0,Electronics
I didn't want them to pay so I called customer service so that they could help me.,0,Electronics
Fills up a room.,0,Electronics
The Echo Dot's text to speech is also no where near as human sounding as with the Google Home Mini.,1,Electronics
I just love it.,0,Electronics
I love it.,0,Electronics
Everyone here likes them and uses them daily.,0,Electronics
No commercials and I can skip songs as I like.,0,Electronics
"I thought it was an intercom thing for the Ring 2 doorbell it was sold with, but that doesn't appear to be the case.",0,Electronics
I am now waiting for 4 additional 3rd Gen Echo Dots to arrive.,0,Electronics
Alexa seems to have unlimited connective abilities with just a word or two from anyone who calls her name!,0,Electronics
So far I really enjoy my Alexa enabled smart home.,0,Electronics
More than worth the money!,0,Electronics
"We have had the first, second, and third Gen Echo Dots and have found this one to be a massive improvement.",0,Electronics
"We are still learning about all of the different thing she can do, but so far are very pleased.",0,Electronics
Pretty sure most of these reviews are fabricated.,0,Electronics
"The echo, dot and now this particular one.",0,Electronics
Love this thing.,0,Electronics
This is my second Echo dot.,0,Electronics
At first really liked but then I noticed that Alexa not always understood commands as well as some other competitor brands.,1,Electronics
"Good for any room where you don't really need the best sound quality, in primary listening rooms it makes sense to go for better sound, but this is great for what it is.",0,Electronics
I call it efficiently.,0,Electronics
She’s also there ready to help when your friends named Alexis come over also.,0,Electronics
What a technical marvel!,0,Electronics
I live the 3rd gen. Best.,0,Electronics
Use USB c if you have higher power needs now.,0,Electronics
